ra dec
20.2807191 28.7382093379
41.6345158262 47.79382824819999
48.795528980600004 59.9118864998
24.6288239534 73.0400370013
103.351252859 33.0595114423
204.36511273 36.2948979215
295.180930446 32.0325617457
276.940166551 46.860581295900005
332.953193299 56.8393540371
354.685464841 -22.5200788841
14.006202786700001 -11.2665274498
335.851249172 17.550178623599997
103.251246756 -26.9576318889
72.5484011348 -16.2171598587
92.8065958723 9.612496171939998
101.309161039 10.0963787752
104.43336514 15.680031957899999
90.6913979857 29.6457117079
144.455264678 -5.31664268053
276.65852656 -26.5790919434
295.31754361599997 -12.435661489600001
263.428249177 14.841598714000002
253.842366063 18.4332127374
83.6285691481 -69.7810478054
84.3112835045 -69.4978983406
86.1665880653 -66.3270700778
57.933603381000005 -60.721475097399995
50.0320974184 -62.788099691000006
58.5742322576 -43.110255999399996
162.644605849 -62.5381292321
169.32934058799998 -67.8235150048
124.578362127 -65.6131924905
140.553695423 -39.0236895557
122.39962709299999 -44.12277545
102.63214969200001 -38.1399622179
127.583879028 -28.2372872981
119.83186910299999 -23.4909505639
119.175859852 -17.1574917195
247.11724852700002 -70.084395016
215.45227317400003 -61.54962842
221.27604858 -48.7748669574
249.93633937 -56.994407814300004
211.070246981 -37.728793211799996
233.06310289599998 -23.880176286300003
